player.playerId,name,player.photoURL,player.jumperNumber,team.name,Disposals,Marks,Goals,tackles,games
CD_I1007017,Tilly Lucas-Rodd,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007017.png,18,Hawthorn,21.35714286,3.571428571,0,3.857142857,14
CD_I1007023,Breann Harrington,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007023.png,16,Carlton,12.33333333,3.8,0.333333333,2.8,15
CD_I1007025,Natalie Plane,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007025.png,32,St Kilda,8.714285714,2,0,3.571428571,7
CD_I1007026,Gabriella Pound,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007026.png,6,Carlton,7.125,1,0,3,8
CD_I1007027,Ruby Schleicher,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007027.png,18,Collingwood,14.3,2.6,0.3,6.7,10
CD_I1007029,Belinda Smith,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007029.png,14,West Coast Eagles,7.6,1.2,0,1.6,5
CD_I1007030,Jamie Stanton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007030.png,17,Gold Coast SUNS,6.666666667,1.444444444,0.666666667,1.666666667,9
CD_I1007130,Shannon Campbell,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007130.png,20,Brisbane Lions,10.46666667,2.933333333,0,1.333333333,15
CD_I1007137,Nat Exon,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007137.png,29,Hawthorn,5.666666667,1,0,3.666666667,3
CD_I1007138,Kate Shierlaw,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007138.png,33,Kangaroos,9.642857143,4.357142857,0.714285714,1.214285714,14
CD_I1007141,Gemma Houghton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007141.png,27,Port Adelaide,9.833333333,2.5,1.916666667,1.5,12
CD_I1007144,Gabby O'Sullivan,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007144.png,9,Fremantle,12.7,1.3,0.2,2.5,10
CD_I1007151,Aliesha Newman,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007151.png,16,GWS GIANTS,7.25,1.5,0,1.25,4
CD_I1007152,Harriet Cordner,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007152.png,21,Carlton,14.8,5.133333333,0,2.066666667,15
CD_I1007155,Meghan McDonald,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007155.png,11,Geelong Cats,7.5,1.5,0,1.333333333,6
CD_I1007157,Libby Birch,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007157.png,2,Kangaroos,15.66666667,4.8,0,2.133333333,15
CD_I1007313,Jess Allan,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007313.png,32,Adelaide Crows,8.461538462,1.538461538,0.153846154,1.923076923,13
CD_I1007327,Montana McKinnon,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007327.png,10,Richmond,8,2,0,3,2
CD_I1007360,Ebony O'Dea,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007360.png,2,Port Adelaide,6.75,1.166666667,0,2.75,12
CD_I1007523,Lisa Steane,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1007523.png,28,West Coast Eagles,7,2,0,2,1
CD_I1009764,Eden Zanker,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009764.png,29,Melbourne,12.14285714,3.714285714,1.571428571,2.428571429,14
CD_I1009765,Sophie Van De Heuvel,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009765.png,27,Essendon,10,1.5,0,1.5,2
CD_I1009772,Mia King,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009772.png,23,Kangaroos,20.88888889,1.666666667,0.333333333,7.222222222,9
CD_I1009794,Danielle Ponter,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009794.png,15,Adelaide Crows,12.28571429,3,0.642857143,2.642857143,14
CD_I1009799,Alyce Parker,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009799.png,3,GWS GIANTS,15,1,0,1,1
CD_I1009803,Alexia Hamilton,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009803.png,30,Sydney Swans,7.555555556,2.333333333,0.222222222,2.666666667,9
CD_I1009805,Maggie Gorham,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009805.png,6,Western Bulldogs,12.25,2,0,1.75,4
CD_I1009813,Brenna Tarrant,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009813.png,20,Sydney Swans,9,2.416666667,0,2.416666667,12
CD_I1009822,Georgia Garnett,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009822.png,17,GWS GIANTS,12.41666667,4.75,0.833333333,2.416666667,12
CD_I1009824,Lily Postlethwaite,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009824.png,6,Brisbane Lions,11.86666667,3,0.066666667,1.533333333,15
CD_I1009828,Jade Ellenger,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009828.png,5,Brisbane Lions,16.46666667,4.066666667,0.066666667,3.266666667,15
CD_I1009831,Tarni White,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009831.png,29,Collingwood,18.58333333,5.083333333,0,3.833333333,12
CD_I1009833,Isabel Dawes,https://s.afl.com.au/staticfile/AFL Tenant/AFL/Players/ChampIDImages/AFLW/2025264/1009833.png,17,Brisbane Lions,20.26666667,2.4,0,5.933333333,15
